Feature,Method,API URL,Auth,Usage (what the customer app expects this API for),Request payload / query,Expected response,App status,Notes for backend
"Catalogue","GET","/categories","Public","Categories tab, category browse, Home category navigation.","None","{ ""categories"": [{ ""id"": ""string"", ""name"": ""string"", ""imageUrl?"": ""string"", ""parentId?"": ""string"", ""isActive?"": ""boolean"", ""children?"": ""CategoryNode[]"", ""productCount?"": ""number"" }] } Also accepts a bare array or { data: [] }.","Implemented","Customer-visible active tree only. Wedding/Birthday cakes and cookies are normal categories, not custom-cake APIs."
"Catalogue","GET","/categories/{id}/products","Public","Category product listing. Pagination, sort, filters.","Query: page, sort=popular|price_asc|price_desc|newest, priceMin, priceMax (paise), plus backend filter group ids as query keys.","{ ""items"": ""ProductSummary[]"", ""page"": ""number"", ""pageSize"": ""number"", ""total"": ""number"", ""hasMore"": ""boolean"", ""category?"": ""CategorySummary"", ""availableFilters?"": [{ ""id"": ""string"", ""label"": ""string"", ""type"": ""single|multi|range"", ""options?"": [{ ""id"": ""string"", ""label"": ""string"", ""value"": ""string"" }], ""minPaise?"": ""number"", ""maxPaise?"": ""number"" }], ""availableSorts?"": [{ ""id"": ""string"", ""label"": ""string"" }] }","Implemented","[CONFIRM] pagination page vs cursor. App uses page-based merge."
"Search","GET","/products/search","Public","Search tab. Debounced 350ms, minimum 2 characters.","Query: q (required), page, sort, priceMin, priceMax, subcategory, plus option filter keys from availableFilters.","Same list envelope as GET /categories/{id}/products.","Implemented","No recent-search API."
"Product Details","GET","/products/{id}","Public","Product Details screen. Deep link /product/{id}.","Path: product id only.","ProductDetail: ProductSummary plus description, images[{url,alt}], offer/offers, availabilityStatus/Label, quantityMin/Max, infoSections[{title,body}], optionGroups?, category?, isWishlisted?. Envelope { product } / { data } / bare object.","Implemented","404 → empty/not found UI. Unavailable product stays visible with CTA disabled."
"Product Details","GET","/products/{id}/options","Public","Product Details option renderer. 404 treated as no options.","Path: product id only.","{ ""groups"": [{ ""id"": ""string"", ""label"": ""string"", ""required?"": ""boolean"", ""type?"": ""string"", ""minSelect?"": ""number"", ""maxSelect?"": ""number"", ""defaultValueId?"": ""string"", ""options"": [{ ""id"": ""string"", ""label"": ""string"", ""available?"": ""boolean"", ""unavailableLabel?"": ""string"", ""pricePaise?"": ""number"", ""compareAtPricePaise?"": ""number"", ""isDefault?"": ""boolean"" }] }], ""variants?"": [{ ""id"": ""string"", ""optionValueIds"": ""string[]"", ""pricePaise"": ""number"", ""isAvailable?"": ""boolean"" }] }","Implemented","Schema-driven. Do not send cake-specific fields. Display labels, never raw option IDs to customers. POST /products/quote is NOT called."
"Wishlist","GET","/wishlist","Bearer required","Wishlist screen and shared WishlistButton heart state. Skipped for guests.","None","{ ""items"": ""ProductSummary[]"" } (or { data } / { wishlist }).","Implemented","No local guest wishlist. Customer-specific. Must clear after logout."
"Wishlist","POST","/wishlist/{productId}","Bearer required","Heart add on ProductCard, Product Details, Wishlist.","Path productId. Empty body.","2xx. App invalidates wishlist + product tags.","Implemented","Non-optimistic. Failure keeps previous heart state."
"Wishlist","DELETE","/wishlist/{productId}","Bearer required","Heart remove.","Path productId. Empty body.","2xx.","Implemented",""
"Reviews","GET","/products/{id}/reviews","Public","Product Reviews list. Pagination.","Query: page?","{ ""items"": [{ ""id"": ""string"", ""rating"": ""number"", ""text?"": ""string"", ""createdAt?"": ""string"", ""reviewerDisplayName?"": ""string"" }], ""page"": ""number"", ""pageSize"": ""number"", ""total"": ""number"", ""hasMore"": ""boolean"", ""ratingAverage?"": ""number"", ""ratingCount?"": ""number"" }","Implemented","Approved reviews only. Client does not recalculate averages."
"Reviews","GET","/orders/{id}/reviewable-items","Bearer required","Order Detail Write Review eligibility.","Path orderId.","{ ""items"": [{ ""orderItemId"": ""string"", ""productId?"": ""string"", ""productName?"": ""string"" }] }","Implemented","Backend owns eligibility. No fake orders."
"Reviews","POST","/reviews","Bearer required","Write Review screen. Requires real orderItemId from query/eligibility.","{ ""orderItemId"": ""string"", ""rating"": ""number"", ""text"": ""string"" }","{ ""id?"": ""string"", ""status?"": ""pending|submitted|approved"" } If pending/submitted, UI shows moderation copy and does not treat as public.","Implemented","Do not accept arbitrary productId-only reviews. productId is not sent."
"Cart","GET","/cart","Bearer required","Cart tab, cart badge, Checkout, after payment confirm.","None","Cart: { id?, items: [{ id, productId, name, imageUrl?, quantity, quantityMin?, quantityMax?, unitPricePaise, lineTotalPaise?, optionsSummary?, selectedOptions?[{ groupLabel, valueLabels }], isAvailable?, priceChanged?, optionsChanged? }], totals: { subtotalPaise?, discountPaise?, storeCreditPaise?, taxPaise?, deliveryFeePaise?, totalPaise? }, coupon? { code, label }, storeCreditApplied?, itemCount?, totalQuantity?, isValid?, canCheckout?, checkoutBlocked?, checkoutBlockedReason?, changes?[{ type, message, productName }], message? }. Envelope { cart } / { data } / bare.","Implemented","ALL money integer paise. Backend calculates totals. No guest cart."
"Cart","POST","/cart/items","Bearer required","Product Details Add to Cart. Wishlist add-to-cart when options are already known to be safe.","{ ""productId"": ""string"", ""quantity"": ""number"", ""options"": [{ ""groupId"": ""string"", ""valueIds"": ""string[]"" }] }","{ ""itemId?"": ""string"", ""cartId?"": ""string"" } (or full cart). App then invalidates GET /cart.","Implemented","Guests are sent to phone auth. Success UI only after 2xx. Option-required products must go through Product Details."
"Cart","PATCH","/cart/items/{id}","Bearer required","Cart quantity stepper. Previous quantity kept until 2xx.","{ ""quantity"": ""number"" }","Updated cart (preferred) or 2xx then GET /cart.","Implemented","No optimistic totals. Duplicate in-flight qty updates blocked on UI."
"Cart","DELETE","/cart/items/{id}","Bearer required","Cart remove (after confirm dialog). Item stays until 2xx.","Path cart line id. Empty body.","Updated cart or 2xx then GET /cart.","Implemented",""
"Cart","POST","/cart/revalidate","Bearer required","Checkout immediately before POST /checkout. Not called from Cart tab.","Empty body (session cart).","Updated cart including changes[] / invalid flags. If changes exist, Checkout stays and shows CartChangeBanner.","Implemented","Backend revalidates price, availability, options, offers."
"Cart — Coupon","POST","/cart/apply-coupon","Bearer required","Cart and Checkout CouponInput.","{ ""code"": ""string"" }","Updated cart with coupon + totals.","Implemented","Backend owns stacking. Error codes: COUPON_INVALID, EXPIRED, MIN_ORDER, NOT_ELIGIBLE, ALREADY_APPLIED, STACKING."
"Cart — Coupon","DELETE","/cart/coupon","Bearer required","Remove applied coupon.","Empty body.","Updated cart.","Implemented",""
"Cart — Store credit","POST","/cart/apply-store-credit","Bearer required","Checkout “use available store credit”. No amount picker.","{ ""max"": true }","Updated cart with storeCreditApplied and totals.storeCreditPaise.","Implemented","[CONFIRM] amount vs max. App currently sends { max: true } only."
"Cart — Store credit","DELETE","/cart/store-credit","Bearer required","Checkout remove store credit.","Empty body.","Updated cart.","Implemented",""
"Addresses","GET","/addresses","Bearer required","Address book and Checkout address picker.","None","{ ""items"": [{ ""id"": ""string"", ""addressType"": ""Home|Office|Other"", ""name"": ""string"", ""phone?"": ""string"", ""house"": ""string"", ""street"": ""string"", ""area"": ""string"", ""landmark?"": ""string"", ""city"": ""string"", ""state"": ""string"", ""pincode"": ""string"", ""lat"": ""number"", ""lng"": ""number"", ""isDefault?"": ""boolean"" }] } Envelope { addresses } / { items } / { data }.","Implemented",""
"Addresses","POST","/addresses","Bearer required","Address form create (map pin required).","{ ""addressType"": ""Home|Office|Other"", ""name"": ""string"", ""phone"": ""string"", ""house"": ""string"", ""street"": ""string"", ""area"": ""string"", ""landmark?"": ""string"", ""city"": ""string"", ""state"": ""string"", ""pincode"": ""string"", ""lat"": ""number"", ""lng"": ""number"", ""isDefault?"": ""boolean"" }","Created Address object.","Implemented","lat/lng from customer map tap, not background GPS."
"Addresses","PATCH","/addresses/{id}","Bearer required","Address form edit.","Same body as POST (partial fields as sent).","Updated Address object.","Implemented",""
"Addresses","DELETE","/addresses/{id}","Bearer required","Address book delete (confirm).","Path id. Empty body.","2xx.","Implemented",""
"Fulfilment","POST","/fulfilment/serviceability","Bearer required","Checkout delivery. Fee displayed from this response, not calculated on client.","{ ""lat"": ""number"", ""lng"": ""number"" }","{ ""serviceable"": ""boolean"", ""feePaise?"": ""number"", ""message?"": ""string"" } Also accepts fee as paise.","Implemented","Backend owns delivery fee. No frontend fee math."
"Fulfilment","GET","/fulfilment/slots","Bearer required","Checkout ASAP / schedule. Slots never hard-coded.","Query: date (YYYY-MM-DD), fulfilmentType=DELIVERY|PICKUP","{ ""date"": ""string"", ""fulfilmentType"": ""DELIVERY|PICKUP"", ""asapAvailable"": ""boolean"", ""slots"": [{ ""id"": ""string"", ""label"": ""string"", ""startAt?"": ""string"", ""endAt?"": ""string"", ""available?"": ""boolean"" }], ""availableDates?"": ""string[]"", ""cutoffMessage?"": ""string"", ""message?"": ""string"" }","Implemented","[CONFIRM] whether cart/location is implied by session or extra query params. App does not send undocumented extras."
"Fulfilment","GET","/fulfilment/pickup-info","Bearer required","Checkout pickup panel. Customer cannot pick a production house.","None","{ ""name?"": ""string"", ""address?"": ""string"", ""instructions?"": ""string"", ""hours?"": ""string"", ""phone?"": ""string"", ""lat?"": ""number"", ""lng?"": ""number"" }","Implemented","Backend assigns production house."
"Store credit","GET","/store-credit","Bearer required","Store Credit screen and Checkout StoreCreditCard.","None","{ ""balancePaise"": ""number"", ""history?"": [{ ""id?"": ""string"", ""label?"": ""string"", ""amountPaise?"": ""number"", ""createdAtLabel?"": ""string"" }] }","Implemented","Ledger is backend-owned. Apply/remove are cart endpoints above."
"Checkout","POST","/checkout","Bearer required","Checkout “Continue to Payment”. Does NOT open Razorpay. Creates checkout/payment draft.","Headers: Idempotency-Key: <uuid>. Body: { ""idempotencyKey"": ""uuid"", ""fulfilment"": ""DELIVERY|PICKUP"", ""asap"": ""boolean"", ""addressId?"": ""string"", ""slotId?"": ""string"", ""coupon?"": ""string"", ""storeCredit?"": { ""max"": true } }","{ ""checkoutId"": ""string"", ""amountPaise"": ""number"", ""currency?"": ""INR"", ""razorpayOrderId?"": ""string"", ""keyId?"": ""string"", ""orderDraftId?"": ""string"", ""paymentIntentId?"": ""string"", ""message?"": ""string"" }","Implemented","[CONFIRM] exact field names and whether Idempotency-Key header, body, or both. Same UUID reused on retry. Invalid cart must 4xx so payment cannot start."
"Payment","POST","/payments/razorpay/initiate","Bearer required","Payment screen Pay Now, only if checkout did not already return razorpayOrderId + amountPaise.","Headers: Idempotency-Key. Body: { ""checkoutId"": ""string"", ""idempotencyKey"": ""string"" } Amount is NOT sent by the client.","{ ""razorpayOrderId"": ""string"", ""keyId"": ""string (Razorpay public key)"", ""amountPaise"": ""number"", ""currency?"": ""INR"", ""checkoutId?"": ""string"" }","Implemented","[CONFIRM] if backend also requires amountPaise. Frontend never contains Razorpay secret. Never treat this as paid."
"Payment","POST","/payments/razorpay/confirm","Bearer required","After Razorpay hosted UI success callback. THIS is authoritative payment success. Then Order Confirmation.","Headers: Idempotency-Key. Body: { ""checkoutId"": ""string"", ""idempotencyKey"": ""string"", ""razorpay_payment_id"": ""string"", ""razorpay_order_id?"": ""string"", ""razorpay_signature?"": ""string"" }","{ ""verified"": ""boolean"", ""alreadyProcessed?"": ""boolean"", ""orderId?"": ""string"", ""orderNumber?"": ""string"", ""totalPaise?"": ""number"", ""fulfilment?"": ""DELIVERY|PICKUP"", ""locationLabel?"": ""string"", ""scheduleLabel?"": ""string"", ""paymentStatus?"": ""string"", ""message?"": ""string"" } Also accepts success/confirmed/status=paid. App treats verified OR alreadyProcessed as success.","Implemented","Backend MUST verify Razorpay signature. Client forwards signature, never HMAC. No GET /payments/status. Uncertain UI retries THIS confirm only. Do not create a second checkout on retry."
"Orders","GET","/orders","Bearer required","Orders hub. One visible tab at a time: Active / Past / Cancelled.","Query: statusGroup=active|past|cancelled, page?","{ ""items"": [{ ""id"": ""string"", ""orderNumber?"": ""string"", ""status?"": ""string"", ""statusLabel"": ""string"", ""placedAt?"": ""string"", ""fulfilment?"": ""DELIVERY|PICKUP"", ""itemSummary?"": ""string"", ""totalPaise?"": ""number"", ""scheduleLabel?"": ""string"", ""trackingAvailable?"": ""boolean"", ""canReorder?"": ""boolean"", ""invoiceAvailable?"": ""boolean"" }], ""page"": ""number"", ""pageSize"": ""number"", ""total"": ""number"", ""hasMore"": ""boolean"" }","Implemented","[CONFIRM] page vs cursor. Customer A must never see Customer B orders."
"Orders","GET","/orders/{id}","Bearer required","Order Detail. Deep link /orders/{id}. Fetches by id only (no object in navigation).","Path order id.","OrderDetail: id, orderNumber?, status/statusLabel, paymentStatus?, fulfilment, location/address/pickup fields, scheduleLabel, items[{ id, productId?, name, imageUrl?, quantity, unitPricePaise?, lineTotalPaise?, optionsSummary?, reviewEligible? }], totals (paise), timeline[{ status, statusLabel, at?, message?, current? }], flags: trackingAvailable, riderAvailable, chatAvailable, callAvailable, canCancel, canReorder, invoiceAvailable, complaintAllowed, refundPaise?, message?","Implemented","403/404 → “Order not found” (do not reveal another customer’s order). All actions are backend-gated by these flags."
"Orders — Cancel","GET","/orders/{id}/cancellation-eligibility","Bearer required","Order Detail cancel entry + Cancel screen.","Path order id.","{ ""allowed"": ""boolean"", ""refundPaise?"": ""number"", ""message?"": ""string"", ""deadlineLabel?"": ""string"", ""policyLabel?"": ""string"" }","Implemented","Frontend must not calculate refund, 30/60 min rules, or eligibility."
"Orders — Cancel","POST","/orders/{id}/cancel","Bearer required","Cancel Order confirm. Duplicate tap blocked. Same idempotency key on retry.","Headers: Idempotency-Key. Body: { ""reasonCode"": ""ORDERED_BY_MISTAKE|CHANGED_MIND|DELIVERY_TAKING_TOO_LONG|OTHER"", ""otherText?"": ""string (when OTHER)"", ""idempotencyKey"": ""string"" }","{ ""success"": ""boolean"", ""refundPaise?"": ""number"", ""refundStatus?"": ""string"", ""message?"": ""string"" }","Implemented","[CONFIRM] reason codes. Backend owns refund."
"Orders — Reorder","POST","/orders/{id}/reorder","Bearer required","Past order card / Order Detail. Navigates to Cart only if cartUpdated.","Headers: Idempotency-Key. Body: { ""idempotencyKey"": ""string"" }","{ ""success"": ""boolean"", ""cartUpdated"": ""boolean"", ""changes?"": [{ ""type?"": ""string"", ""message?"": ""string"", ""productName?"": ""string"" }], ""message?"": ""string"" }","Implemented","Must revalidate current price/availability/options/offers. Never checkout at old price."
"Orders — Invoice","GET","/orders/{id}/invoice","Bearer required","Order Detail invoice button. Opens HTTPS URL in in-app browser. URL not logged.","Path order id.","{ ""available"": ""boolean"", ""generating?"": ""boolean"", ""url?"": ""https URL"", ""message?"": ""string"" }","Implemented","HTTPS only. No auth tokens attached to the PDF URL."
"Tracking","GET","/orders/{id}/tracking","Bearer required","Tracking screen. Poll every 15s while focused and not delivered/cancelled/unavailable.","Path order id.","{ ""available"": ""boolean"", ""status?"": ""string"", ""statusLabel?"": ""string"", ""etaLabel?"": ""string"", ""riderLat?"": ""number"", ""riderLng?"": ""number"", ""destinationLat?"": ""number"", ""destinationLng?"": ""number"", ""polyline?"": [{ ""lat"": ""number"", ""lng"": ""number"" }], ""updatedAt?"": ""string"", ""delivered?"": ""boolean"", ""cancelled?"": ""boolean"", ""message?"": ""string"" }","Implemented","No customer GPS. No frontend ETA/route math. Encoded polyline strings are not decoded [CONFIRM]. No WebSocket."
"Tracking — Rider","GET","/orders/{id}/rider","Bearer required","Tracking / Order Detail Call Rider. Display-safe fields only.","Path order id.","{ ""displayName?"": ""string"", ""photoUrl?"": ""string"", ""rating?"": ""number"", ""callAllowed?"": ""boolean"", ""chatAllowed?"": ""boolean"", ""callNumber?"": ""string (dialable when callAllowed)"", ""message?"": ""string"" }","Implemented","Do not send internal rider id, private assignment, or call tokens unless product confirms. Call-token-only [CONFIRM]. Number not logged."
"Rider chat","GET","/orders/{id}/rider-chat/messages","Bearer required","Rider Chat screen. Poll 10s while focused. Separate from Support.","Query: page? (page>1 only)","{ ""items"": [{ ""id"": ""string"", ""sender"": ""CUSTOMER|RIDER|SYSTEM"", ""text"": ""string"", ""createdAt?"": ""string"" }], ""page"": ""number"", ""pageSize"": ""number"", ""total"": ""number"", ""hasMore"": ""boolean"", ""available?"": ""boolean"", ""message?"": ""string"" } Oldest → newest.","Implemented","[CONFIRM] page vs cursor. Hide unless order/chat flags allow."
"Rider chat","POST","/orders/{id}/rider-chat/messages","Bearer required","Rider Chat send. Draft kept on failure. Send disabled while in flight.","{ ""text"": ""string"" }","Created message or 2xx then list refresh.","Implemented",""
"Notifications","POST","/devices/push-token","Bearer required","After auth + contextual permission grant. Native FCM/APNs token (not Expo push token).","{ ""token"": ""string"", ""platform"": ""ios|android"" }","{ ""ok"": true }","Implemented","No fake token. Duplicate same token skipped on client. Token delete/unbind on logout is [CONFIRM] — not called."
"Notifications","GET","/notifications","Bearer required","Notifications inbox. Page pagination.","Query: page?","{ ""items"": [{ ""id"": ""string"", ""title"": ""string"", ""body"": ""string"", ""createdAt?"": ""string"", ""read"": ""boolean"", ""type?"": ""string"", ""orderId?"": ""string"", ""ticketId?"": ""string"", ""orderItemId?"": ""string"" }], ""page"": ""number"", ""pageSize"": ""number"", ""total"": ""number"", ""hasMore"": ""boolean"" } Deep-link fields may be nested under data/payload.","Implemented","[CONFIRM] envelope and type enum. Payload must be IDs only — no tokens, full orders, or support message bodies. Unknown type → stay in inbox."
"Notifications","POST","/notifications/{id}/read","Bearer required","When a notification is opened, not when inbox opens.","Path id. Empty body.","2xx. App invalidates inbox + Home unread badge.","Implemented","POST /notifications/read-all is [CONFIRM] and not called."
"Support","GET","/support/tickets","Bearer required","Support hub list. Customer’s tickets only.","Query: page?","{ ""items"": [{ ""id"": ""string"", ""displayId?"": ""string"", ""status"": ""NEW|OPEN|PENDING|CLOSED"", ""preview?"": ""string"", ""orderId?"": ""string"", ""createdAt?"": ""string"", ""updatedAt?"": ""string"" }], ""page"": ""number"", ""pageSize"": ""number"", ""total"": ""number"", ""hasMore"": ""boolean"" }","Implemented","[CONFIRM] pagination envelope. Ownership enforced server-side."
"Support","POST","/support/tickets","Bearer required","Create ticket + Order complaint. Same idempotency key on retry.","Headers: Idempotency-Key. Body: { ""message"": ""string"", ""orderId?"": ""string"", ""reasonCode?"": ""string"", ""idempotencyKey"": ""string"" }","{ ""ticketId"": ""string"", ""success?"": ""boolean"", ""message?"": ""string"" }","Implemented","After create, app may POST up to 3 attachments. Complaint eligibility is order.complaintAllowed; dedicated eligibility API [CONFIRM]."
"Support","GET","/support/tickets/{id}","Bearer required","Ticket detail / deep link /support/{id}. Fetch by id only.","Path ticket id.","{ ""id"": ""string"", ""displayId?"": ""string"", ""status"": ""NEW|OPEN|PENDING|CLOSED"", ""subject?"": ""string"", ""orderId?"": ""string"", ""replyAllowed"": ""boolean"", ""messages"": [{ ""id"": ""string"", ""actor"": ""customer|support"", ""body"": ""string"", ""createdAt?"": ""string"" }] }","Implemented","403/404 → ticket not found. Closed tickets hide composer unless replyAllowed/canReply."
"Support","POST","/support/tickets/{id}/messages","Bearer required","Ticket reply. No optimistic insert. Draft kept on failure.","{ ""message"": ""string"" }","2xx then GET ticket refresh.","Implemented",""
"Support","POST","/support/tickets/{id}/attachments","Bearer required","After ticket create, up to 3 evidence photos (complaint + create ticket).","multipart/form-data field name ""file"": { uri, name, type=image/jpeg|image/png|image/webp }","2xx per file.","Implemented","[CONFIRM] FormData field name (app sends ""file""). Max 3. JPG/PNG/WEBP only. Size limit backend. No executables."
"Legal","GET","/legal/{type}","Public — do not require auth; do not attach tokens to any returned URL","Legal hub documents.","Path type = terms | privacy | refund | cancellation","{ ""title?"": ""string"", ""content?"": ""markdown or plain text"", ""url?"": ""https URL"" }","Implemented","[CONFIRM] URL vs markdown. HTTPS URL opened in in-app browser with no auth headers. HTML stripped, not executed. All four types required."
"Not called (do not build for this app unless product confirms)","POST","/products/quote","—","Not used. Displayed price comes from product/options payload.","—","—","Not called","[CONFIRM] leftover from earlier analysis."
"Not called (do not build for this app unless product confirms)","POST","/cart/merge","—","No guest local cart, so no merge after OTP.","—","—","Not called","[CONFIRM]"
"Not called (do not build for this app unless product confirms)","GET","/payments/status","—","Uncertain payment retries POST /payments/razorpay/confirm only.","—","—","Not called","Do not invent a poll."
"Not called (do not build for this app unless product confirms)","POST","/notifications/read-all","—","Inbox marks one notification read on open.","—","—","Not called","[CONFIRM]"
"Not called (do not build for this app unless product confirms)","DELETE","/devices/push-token","—","Logout clears local token cache only.","—","—","Not called","[CONFIRM] unbind contract."
"Out of scope","—","Custom cake / quote / referral / admin / rider-app APIs","—","Customer app must not include these.","—","—","Out of scope","GUNUCO product decisions."
